"","location","cnt","lat","long","lat_min","lat_max","lon_min","lon_max"
"1198","Tulare, CA",4,36.2516475,-118.852583,35.786701,36.7531474,-119.573376,-117.9807869
"1199","Tulsa, OK",20,36.1563122,-95.9927516,35.968297,36.336505,-96.074478,-95.681597
"1200","Turners Falls, MA",2,42.6042523,-72.5564777,42.5842523,42.6242523,-72.5764777,-72.5364777
"1201","Tustin, CA",14,33.7458511,-117.826166,33.6934663,33.7778834,-117.8446576,-117.7585594
"1202","Union City, CA",4,37.5872576,-122.0215737,37.5613645,37.6366008,-122.0967521,-121.93978
"1203","Union City, GA",4,33.5870558,-84.5424299,33.537798,33.634587,-84.667549,-84.486109
"1204","Union, NJ",8,40.6652251,-74.3045277,40.591903,40.739334,-74.463348,-74.1377655
"1205","United States",2685,39.7837304,-100.445882,-14.7608358,71.5889534,-180,180
"1206","United, PA",6,40.2184039,-79.4878157,40.1984039,40.2384039,-79.5078157,-79.4678157
"1207","Urbana-Champaign Area",3,40.1390948,-88.2518241,40.1390111,40.1391787,-88.2523528,-88.2512955
"1208","Urbana, IL",5,40.1117174,-88.207301,40.069549,40.157339,-88.318616,-88.15306
"1209","Urbandale, IA",8,41.6274511,-93.7380243,41.614644,41.672773,-93.872352,-93.697541
"1210","Utah, United States",28,39.4225192,-111.714358,36.9978085,42.001702,-114.0528506,-109.0415767
"1211","Utica, NY",4,43.1009031,-75.2326641,43.064424,43.132204,-75.295407,-75.161034
"1212","Valdosta, GA",2,30.8327022,-83.2784851,30.7617071,30.928853,-83.3445096,-83.2219276
"1213","Valley City, OH",3,41.2376342,-81.9287552,41.2176342,41.2576342,-81.9487552,-81.9087552
"1214","Vance, AL",1,33.164653,-87.2467063,33.109838,33.217877,-87.280517,-87.175583
"1215","Vancouver, WA",68,45.6306954,-122.6744557,45.5773908,45.6980031,-122.7745353,-122.46456
"1216","Ventura, CA",2,34.4458248,-119.0779359,33.163493,34.9012713,-119.7577028,-118.632485
"1217","Vernon, WI",4,43.5811229,-90.8231247,43.4224089,43.731304,-91.273252,-90.3110384
"1218","Verona, PA",4,40.5064571,-79.843105,40.4959439,40.5126536,-79.8503353,-79.8334326
"1219","Verona, WI",10,42.9905492,-89.5335575,42.9614602,43.023739,-89.5830474,-89.4946091
"1220","Vicksburg, MS",10,32.3528055,-90.8777342,32.2233978,32.4280828,-90.9517237,-90.8188967
"1221","Vienna, VA",3,38.9013729,-77.2651762,38.8785401,38.921824,-77.2847641,-77.2410854
"1222","Villa Park, IL",8,41.8893116,-87.9778368,41.8585661,41.9172805,-88.004708,-87.956679
"1223","Virginia Beach, VA",9,36.8529841,-75.9774183,36.5504132,37.0302476,-76.228243,-75.8318954
"1224","Virginia, United States",23,37.1232245,-78.4927721,36.5407896,39.466012,-83.6753671,-75.166435
"1225","Vonore, TN",14,35.590078,-84.2418612,35.564761,35.622358,-84.275799,-84.17551
"1226","Waco, TX",6,31.5491899,-97.1474628,31.446727,31.6603867,-97.329176,-97.0447115
"1227","Wallingford, CT",8,41.4570418,-72.8231552,41.396641,41.516509,-72.8866696,-72.7338869
"1228","Walnut Creek, CA",33,37.9020731,-122.0618702,37.8424681,37.9463371,-122.1001494,-121.9806066
"1229","Walnut, CA",4,34.0202894,-117.8653386,34.0026847,34.0624007,-117.8957203,-117.8246895
"1230","Walterboro, SC",10,32.9021377,-80.6672631,32.870284,32.952507,-80.721647,-80.636325
"1231","Waltham, MA",24,42.3756401,-71.2358004,42.3536377,42.4244463,-71.2860312,-71.1941707
"1232","Walton, KY",12,38.8756194,-84.6102213,38.84177,38.889266,-84.640575,-84.587438
"1233","Warminster, PA",5,40.2067751,-75.0996159,40.1711331,40.2378394,-75.1378088,-75.0438064
"1234","Warren, MA",2,42.2128632,-72.1926488,42.1537068,42.2513879,-72.2647149,-72.1418886
"1235","Warrendale, PA",1,40.6534001,-80.079503,40.6334001,40.6734001,-80.099503,-80.059503
"1236","Warsaw, IN",3,41.2381017,-85.8530544,41.204872,41.290284,-85.891257,-85.782311
"1237","Warwick, RI",14,41.6992717,-71.4586114,41.629397,41.768333,-71.518913,-71.3566566
"1238","Washington, DC",291,38.8950368,-77.0365427,38.7916303,38.995968,-77.1197949,-76.909366
"1239","Washington, PA",6,40.1943798,-80.2541251,39.952016,40.477772,-80.51928,-79.8384063
"1240","Washington, United States",6,38.8950368,-77.0365427,38.7916303,38.995968,-77.1197949,-76.909366
"1241","Waterford, CT",2,41.358659,-72.1519367,41.2760054,41.4269984,-72.2193078,-72.0891197
"1242","Waterloo, IA",4,42.498275,-92.3328743,42.4211576,42.5704868,-92.4368211,-92.2488646
"1243","Watertown, SD",5,44.899211,-97.115289,44.866051,44.953685,-97.2547985,-97.0417798
"1244","Watertown, WI",2,43.1948481,-88.7286352,43.147406,43.23383,-88.770576,-88.688918
"1245","Watsonville, CA",4,36.9092773,-121.7529071,36.8840632,37.019109,-121.8273244,-121.7323371
"1246","Waukegan, IL",30,42.3636331,-87.8447938,42.309377,42.432657,-87.964419,-87.804207
"1247","Waukesha, WI",114,43.0622536,-88.3123889,42.8419536,43.1960829,-88.5421551,-88.0633579
"1248","Wauwatosa, WI",2,43.0494122,-88.0079271,43.0309215,43.1044181,-88.0670329,-87.9839689
"1249","Weirton, WV",1,40.4002396,-80.5899788,40.365514,40.4512288,-80.6340732,-80.51789
"1250","Wellesley, MA",3,42.2964859,-71.2925571,42.2696132,42.3280895,-71.3297504,-71.2275306
"1251","Wenatchee, WA",4,47.4234599,-120.310349,47.3874933,47.4605568,-120.367718,-120.2928146
"1252","West Babylon, NY",54,40.7126585,-73.3536779,40.667399,40.741711,-73.398653,-73.328316
"1253","West Columbia, SC",8,33.9934867,-81.0739826,33.958323,34.023978,-81.138474,-81.048109
"1254","West Covina, CA",2,34.0686208,-117.9389526,34.001855,34.092474,-117.967138,-117.858261
"1255","West Des Moines, IA",3,41.5644476,-93.7594059,41.4892666,41.60046,-93.8868692,-93.6982642
"1256","West Fargo, ND",4,46.874967,-96.900362,46.803944,46.906196,-96.95935,-96.86162
"1257","West Hollywood, CA",6,34.0923014,-118.3692894,34.0763893,34.098071,-118.3958762,-118.343381
"1258","West Lebanon, NH",4,43.6482811,-72.3102794,43.6282811,43.6682811,-72.3302794,-72.2902794
"1259","West Long Branch, NJ",2,40.2903891,-74.0176381,40.27217,40.304855,-74.03845,-74.001408
"1260","West McLean, VA",2,38.9320553,-77.1841468,38.9220553,38.9420553,-77.1941468,-77.1741468
"1261","West Palm Beach, FL",32,26.715364,-80.0532942,26.6444232,26.8401733,-80.214633,-80.0434769
"1262","West Point, MS",1,33.6076186,-88.6503255,33.5633073,33.636554,-88.707466,-88.607207
"1263","West Valley City, UT",5,40.6967254,-111.986821,40.6312174,40.72683,-112.097261,-111.9202207
"1264","West Virginia, United States",12,38.4758406,-80.8408415,37.2014139,40.638801,-82.644739,-77.719029
"1265","Westbrook, ME",12,43.6763036,-70.3663874,43.6424469,43.7538236,-70.3922444,-70.3111176
"1266","Westchester County, NY",24,41.1763139,-73.7907554,40.871825,41.366708,-73.98337,-73.481924
"1267","Western, NY",10,43.3380689,-75.3896929,43.277109,43.398045,-75.466546,-75.313332
